"income_band","inc_low","inc_high","inc_mid","age_band","age_band_key","members","pp3","pp4","pp6","pp8","pp10","ppn"
"$0.01    -   $100",0.01,100,50.005,"Under 16","ks_u16",65741.9786264755,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$0.01    -   $100",0.01,100,50.005,"16-17","ks_16_17",8560.51546276655,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$0.01    -   $100",0.01,100,50.005,"18-24","ks_18_24",22877.8039627162,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$0.01    -   $100",0.01,100,50.005,"25-34","ks_25_34",34733.2042208484,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$0.01    -   $100",0.01,100,50.005,"35-44","ks_35_44",39066.6212046568,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$0.01    -   $100",0.01,100,50.005,"45-54","ks_45_54",22871.8142308561,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$0.01    -   $100",0.01,100,50.005,"55-64","ks_55_64",17490.5612656445,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$0.01    -   $100",0.01,100,50.005,"65+","ks_65p",3213.79859260401,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$101     -   $1,000",101,1000,550.5,"Under 16","ks_u16",22536.2180503062,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$101     -   $1,000",101,1000,550.5,"16-17","ks_16_17",4837.92244427078,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$101     -   $1,000",101,1000,550.5,"18-24","ks_18_24",13891.0161411608,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
"$101     -   $1,000",101,1000,550.5,"25-34","ks_25_34",14838.080935124,0.191216623526571,0.0350043747676157,0.0176627717111654,0.0126809619987555,0.0170579682068297,0.726377299789063
